,Time,Voltage (V),Current Load (A),Watts (W)
209,1101.589779,3.992057,2,7.984114
210,1106.890403,3.991676,2,7.983352
211,1112.180412,3.991298,2,7.982596
212,1117.480568,3.990919,2,7.981838
213,1122.780676,3.990538,2,7.981076
214,1128.08097,3.990135,2,7.98027
215,1133.380531,3.989736,2,7.979472
216,1138.681324,3.989336,2,7.978672
217,1143.991399,3.988923,2,7.977846
218,1149.30171,3.988508,2,7.977016
219,1154.592558,3.988082,2,7.976164
220,1159.902261,3.987659,2,7.975318
221,1165.202378,3.987233,2,7.974466
222,1170.502388,3.986789,2,7.973578
223,1175.802425,3.98635,2,7.9727
224,1181.092299,3.985902,2,7.971804
225,1186.383052,3.985453,2,7.970906
226,1191.682118,3.984993,2,7.969986
227,1196.983336,3.984523,2,7.969046
228,1202.283576,3.984061,2,7.968122
229,1207.583523,3.98358,2,7.96716
230,1212.894089,3.983098,2,7.966196
231,1218.194215,3.982616,2,7.965232
232,1223.504195,3.982114,2,7.964228
233,1228.814073,3.981617,2,7.963234
234,1234.134662,3.981109,2,7.962218
235,1239.435086,3.9806,2,7.9612
236,1244.764705,3.980079,2,7.960158
237,1250.065172,3.979555,2,7.95911
238,1255.374829,3.97902,2,7.95804
239,1260.675939,3.978493,2,7.956986
240,1265.975893,3.977948,2,7.955896
241,1271.275812,3.977401,2,7.954802
242,1276.566303,3.976853,2,7.953706
243,1281.866476,3.9763,2,7.9526
244,1287.165912,3.975733,2,7.951466
245,1292.476745,3.975154,2,7.950308
246,1297.786825,3.974576,2,7.949152
247,1303.088028,3.974003,2,7.948006
248,1308.38699,3.973408,2,7.946816
249,1313.67744,3.972815,2,7.94563
250,1318.987806,3.972216,2,7.944432
251,1324.296918,3.971608,2,7.943216
252,1329.598397,3.970996,2,7.941992
253,1334.898227,3.970379,2,7.940758
254,1340.198427,3.969753,2,7.939506
255,1345.498597,3.969125,2,7.93825
256,1350.788788,3.968497,2,7.936994
257,1356.089291,3.967854,2,7.935708
258,1361.398132,3.967212,2,7.934424
259,1366.738733,3.966548,2,7.933096
260,1372.059247,3.96589,2,7.93178
261,1377.358934,3.965226,2,7.930452
262,1382.659583,3.964551,2,7.929102
263,1387.960381,3.963873,2,7.927746
264,1393.269047,3.963198,2,7.926396
265,1398.580492,3.962515,2,7.92503
266,1403.889818,3.961814,2,7.923628
267,1409.210775,3.96111,2,7.92222
268,1414.511171,3.960408,2,7.920816
269,1419.820365,3.959703,2,7.919406
270,1425.120476,3.958992,2,7.917984
271,1430.441325,3.958269,2,7.916538
272,1435.741632,3.957537,2,7.915074
273,1441.041863,3.956815,2,7.91363
274,1446.35196,3.956084,2,7.912168
275,1451.661232,3.955333,2,7.910666
276,1456.98244,3.954591,2,7.909182
277,1462.272508,3.95384,2,7.90768
278,1467.582402,3.953086,2,7.906172
279,1472.892853,3.952328,2,7.904656
280,1478.203318,3.951555,2,7.90311
281,1483.503121,3.950783,2,7.901566
282,1488.813599,3.950005,2,7.90001
283,1494.133528,3.949223,2,7.898446
284,1499.443988,3.948443,2,7.896886
285,1504.744181,3.947648,2,7.895296
286,1510.053888,3.94685,2,7.8937
287,1515.373628,3.946045,2,7.89209
288,1520.684425,3.945239,2,7.890478
289,1526.004915,3.944426,2,7.888852
290,1531.314565,3.943614,2,7.887228
291,1536.614849,3.942807,2,7.885614
292,1541.914495,3.941988,2,7.883976
293,1547.225251,3.94116,2,7.88232
294,1552.565919,3.940337,2,7.880674
295,1557.885629,3.9395,2,7.879
296,1563.206279,3.938653,2,7.877306
297,1568.51638,3.937818,2,7.875636
298,1573.81619,3.936967,2,7.873934
299,1579.116869,3.93612,2,7.87224
300,1584.416571,3.935276,2,7.870552
301,1589.736604,3.934408,2,7.868816
302,1595.05631,3.933561,2,7.867122
303,1600.376148,3.932696,2,7.865392
304,1605.707559,3.931834,2,7.863668
305,1611.047568,3.930969,2,7.861938
306,1616.358061,3.930092,2,7.860184
307,1621.677599,3.929229,2,7.858458
308,1626.988251,3.928357,2,7.856714
309,1632.288141,3.927488,2,7.854976
310,1637.588482,3.926612,2,7.853224
311,1642.888732,3.925732,2,7.851464
312,1648.208198,3.924848,2,7.849696
313,1653.519184,3.923977,2,7.847954
314,1658.829345,3.923095,2,7.84619
315,1664.159581,3.922205,2,7.84441
316,1669.479283,3.921316,2,7.842632
317,1674.800052,3.920425,2,7.84085
318,1680.110086,3.919536,2,7.839072
319,1685.420198,3.918648,2,7.837296
320,1690.720273,3.917771,2,7.835542
321,1696.030727,3.916878,2,7.833756
322,1701.340983,3.915993,2,7.831986
323,1706.660239,3.915102,2,7.830204
324,1711.980868,3.914207,2,7.828414
325,1717.310376,3.913311,2,7.826622
326,1722.622884,3.912431,2,7.824862
327,1727.94136,3.911536,2,7.823072
328,1733.251874,3.910655,2,7.82131
329,1738.562242,3.909771,2,7.819542
330,1743.872431,3.908875,2,7.81775
331,1749.182086,3.907989,2,7.815978
332,1754.502177,3.907105,2,7.81421
333,1759.822474,3.906216,2,7.812432
334,1765.161864,3.905336,2,7.810672
335,1770.483237,3.904459,2,7.808918
336,1775.803126,3.903567,2,7.807134
337,1781.123508,3.902697,2,7.805394
338,1786.434287,3.901823,2,7.803646
339,1791.743908,3.900949,2,7.801898
340,1797.044036,3.900078,2,7.800156
341,1802.354227,3.899209,2,7.798418
342,1807.674076,3.898345,2,7.79669
343,1813.004558,3.89747,2,7.79494
344,1818.33481,3.896608,2,7.793216
345,1823.645862,3.895748,2,7.791496
346,1828.944616,3.894892,2,7.789784
347,1834.255233,3.894039,2,7.788078
348,1839.575475,3.893178,2,7.786356
349,1844.885419,3.89233,2,7.78466
350,1850.186323,3.891483,2,7.782966
351,1855.495905,3.890641,2,7.781282
352,1860.79571,3.889802,2,7.779604
353,1866.1369,3.888958,2,7.777916
354,1871.45676,3.888116,2,7.776232
355,1876.767229,3.88729,2,7.77458
356,1882.067058,3.88646,2,7.77292
357,1887.38838,3.885637,2,7.771274
358,1892.696318,3.884811,2,7.769622
359,1898.027039,3.883994,2,7.767988
360,1903.347276,3.883178,2,7.766356
361,1908.667784,3.882362,2,7.764724
362,1913.998014,3.88155,2,7.7631
363,1919.328575,3.880751,2,7.761502
364,1924.658216,3.879945,2,7.75989
365,1929.96883,3.879151,2,7.758302
366,1935.29867,3.878351,2,7.756702
367,1940.618602,3.87756,2,7.75512
368,1945.938932,3.876774,2,7.753548
369,1951.249291,3.875992,2,7.751984
370,1956.56936,3.87521,2,7.75042
371,1961.899768,3.87443,2,7.74886
372,1967.219396,3.873657,2,7.747314
373,1972.530217,3.872889,2,7.745778
374,1977.850506,3.87212,2,7.74424
375,1983.150646,3.871361,2,7.742722
376,1988.46055,3.870603,2,7.741206
377,1993.780276,3.869864,2,7.739728
378,1999.100871,3.869101,2,7.738202
379,2004.440946,3.868355,2,7.73671
380,2009.781438,3.86761,2,7.73522
381,2015.101608,3.866872,2,7.733744
382,2020.421953,3.866141,2,7.732282
383,2025.741883,3.865414,2,7.730828
384,2031.052212,3.864695,2,7.72939
385,2036.382449,3.863973,2,7.727946
386,2041.702575,3.863262,2,7.726524
387,2047.032691,3.86255,2,7.7251
388,2052.352539,3.861839,2,7.723678
389,2057.673357,3.861129,2,7.722258
390,2062.992934,3.860437,2,7.720874
391,2068.303321,3.859741,2,7.719482
392,2073.623769,3.859045,2,7.71809
393,2078.933615,3.858371,2,7.716742
394,2084.244229,3.857688,2,7.715376
395,2089.544628,3.857012,2,7.714024
396,2094.88443,3.856332,2,7.712664
397,2100.204881,3.855657,2,7.711314
398,2105.514913,3.854995,2,7.70999
399,2110.835161,3.854323,2,7.708646
400,2116.145202,3.853668,2,7.707336
401,2121.465726,3.85301,2,7.70602
402,2126.775592,3.85236,2,7.70472
403,2132.095898,3.851713,2,7.703426
404,2137.425908,3.851065,2,7.70213
405,2142.74596,3.850429,2,7.700858
406,2148.056087,3.849791,2,7.699582
407,2153.376491,3.849158,2,7.698316
408,2158.696608,3.848534,2,7.697068
409,2164.01707,3.847916,2,7.695832
410,2169.347262,3.847289,2,7.694578
411,2174.687149,3.846679,2,7.693358
412,2179.997547,3.846058,2,7.692116
413,2185.337725,3.845449,2,7.690898
414,2190.657977,3.844851,2,7.689702
415,2196.038176,3.844239,2,7.688478
416,2201.347124,3.843634,2,7.687268
417,2206.678242,3.843037,2,7.686074
418,2212.008044,3.842447,2,7.684894
419,2217.37774,3.841848,2,7.683696
420,2222.719163,3.841262,2,7.682524
421,2228.049155,3.840686,2,7.681372
422,2233.369427,3.840111,2,7.680222
423,2238.688415,3.839531,2,7.679062
424,2244.019992,3.838964,2,7.677928
425,2249.349236,3.838393,2,7.676786
426,2254.689712,3.837825,2,7.67565
427,2260.020515,3.837266,2,7.674532
428,2265.339911,3.836706,2,7.673412
429,2270.67087,3.83615,2,7.6723
430,2275.990822,3.835598,2,7.671196
431,2281.321079,3.835042,2,7.670084
432,2286.671238,3.834495,2,7.66899
433,2291.991343,3.83395,2,7.6679
434,2297.33186,3.833411,2,7.666822
435,2302.651799,3.832871,2,7.665742
436,2307.981811,3.832343,2,7.664686
437,2313.332324,3.8318,2,7.6636
438,2318.661991,3.831269,2,7.662538
439,2324.011883,3.830734,2,7.661468
440,2329.362853,3.830201,2,7.660402
441,2334.703527,3.829673,2,7.659346
442,2340.021723,3.82915,2,7.6583
443,2345.363248,3.82862,2,7.65724
444,2350.69309,3.828108,2,7.656216
445,2356.024204,3.827584,2,7.655168
446,2361.363729,3.82706,2,7.65412
447,2366.694013,3.826542,2,7.653084
448,2372.024185,3.826035,2,7.65207
449,2377.364529,3.82552,2,7.65104
450,2382.693767,3.825004,2,7.650008
451,2388.01382,3.824494,2,7.648988
452,2393.354956,3.82398,2,7.64796
453,2398.674925,3.823471,2,7.646942
454,2404.055483,3.822963,2,7.645926
455,2409.385098,3.82246,2,7.64492
456,2414.725122,3.821944,2,7.643888
457,2420.054689,3.821441,2,7.642882
458,2425.396065,3.820942,2,7.641884
459,2430.726073,3.820434,2,7.640868
460,2436.056491,3.819926,2,7.639852
461,2441.386634,3.819419,2,7.638838
462,2446.726373,3.818919,2,7.637838
463,2452.056871,3.818415,2,7.63683
464,2457.387036,3.817905,2,7.63581
